grp,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
A,350.417518289252,1104.53946193787,297.739777684708,65.2127847467426,75.4824995224309,-55.5093719306982,333.655426412843,285.798093345257,792.237365345611,733.943493360402,414.499429959233,317.196820351577,77.0084838564983,-62.7084015425946,551.677055301873,672.19836783446,-220.130811836707,600.021638414727,469.429130746424,332.187869961055,117.148377333301,1624.52433051743,986.436146288614,618.587782943858,198.32878102402,69.568016662141,275.241134882778,227.607092813823,881.020320083927,245.917807927269
C,586.423227920852,1099.9026652143,292.316353991331,81.8062631268101,72.9719947681848,-137.879525546282,332.575466120749,268.785116000518,915.978787611663,908.018473413363,-107.511169925158,213.394252671925,99.8071494678735,-917.161161808913,558.768955985726,675.712922428977,-382.450882585051,594.803769737374,467.230647544319,327.49647632465,90.700702948732,1474.76878833755,908.545907039877,544.82233994767,276.839694643026,-129.577502445158,206.615194894307,403.179619903524,879.456387498014,217.54074416182
B,-84.0060674758916,994.074822253354,298.371257833989,82.0392816444486,62.2858461727723,119.785654366814,348.761162385208,281.127133992331,591.134964789813,761.667499494299,-38.8841489714551,413.514090658522,88.9847142676671,1608.59783244635,547.5057848856,674.901785474715,-182.455511377331,597.470623504301,466.36235215094,344.104798311558,2287.37956756384,381.673109455803,953.008422325628,-54.6180651941667,354.205780058965,182.540075521655,134.295784095992,-127.344489695127,875.483728796198,-24.6128604725542
A,-421.308272339202,1138.66375149325,296.966198262658,77.7925846983308,71.1476658124996,-58.427400169827,335.947981852083,283.952113477032,721.774064318907,693.26942774402,240.632245534311,355.995803337543,102.543603450449,-323.384095713252,566.047770701482,676.096573892223,-29.8212848410329,596.858892551213,471.330818497618,330.594583537655,866.709941540145,-253.86132902795,911.863812144524,236.814648683016,264.619993825369,264.370341883259,437.019888489683,-443.609980686351,872.313111899449,27.9831102693211
B,874.300811364234,934.440459132627,291.261245352341,84.2297604562342,67.5910047596371,134.712941293429,326.757730275659,277.747089178815,632.083505115894,734.468977802716,158.980438013684,388.387404013271,84.6154309008831,1148.98710813354,561.583011303659,674.428093079677,205.759886412375,600.578836230755,464.534031986867,336.790045395018,1242.28544685621,-366.116600156717,945.413045820433,-370.801730589384,468.447305458065,-8.97132586779642,227.977077061742,428.998115719845,870.284949328483,172.634431423011
B,953.767331565881,1246.82129011418,292.426234965433,76.0179883461596,66.2161439885594,234.871193558699,354.094072456582,273.527837221291,761.982585441841,714.389633373883,250.820043217874,462.577959466782,87.5201663351908,-1144.51241562761,552.225101505913,674.940097389056,98.3160843930112,601.123106089876,464.457655062015,340.104938764856,-236.362275710387,1533.25139125445,964.709213353374,237.685156010864,359.408956720416,-12.8183254304466,285.710138522036,427.809093431762,871.589828742762,29.1870560360279
A,-42.6796818473153,1218.16967297399,298.122732176386,68.1938282995496,67.0912993118516,-26.3814181744882,328.166223241107,284.380032431911,718.282269353948,735.870241287271,793.080279964995,322.861561174557,89.0082906153562,-420.234390232618,566.315885487178,679.897194563335,500.565499605371,601.531842313931,467.82957844211,324.685028306237,511.911455222639,-351.911854168677,958.805361831217,994.42763205196,202.265289665999,125.465818039755,276.586209966037,607.146925976059,873.196092733023,74.1862652017124
A,87.4101070728587,942.922769818785,301.989488103335,65.5405721804422,66.0385900407275,91.9953694865564,327.309250930277,291.513979250541,756.899808505708,757.561913069975,156.727561352197,316.606537889479,101.330034682946,-83.9394240006736,553.931064003901,674.78808716568,303.46805558389,599.275164169268,466.691400376947,326.948896417654,346.516678435114,658.065726276008,1015.01262596007,1317.71623310888,450.013977958264,8.70754829953744,415.197423185106,308.545713121312,875.326681692875,109.628912960976
B,-223.518448713279,1074.69294766203,290.001140322944,78.8357994271081,62.8219502428669,-51.1510165670524,356.477012272093,270.92665305019,713.370826380131,697.06889708773,651.163063897135,484.697248015743,87.2879977852433,-1688.118429336,564.106563342549,674.434952479379,34.5019641596579,600.067620606073,466.408158405874,338.113341116343,-1416.0123986532,1919.76351599544,1049.12374031154,-360.325132932764,385.562114401147,5.66088651247345,218.317565184836,110.106470288199,875.668835740443,61.0368575827843
B,251.259925270505,1154.51556280257,295.888437027224,94.1657394138006,59.7668679108575,132.035234201049,358.020570940094,282.652171667867,623.92986474874,846.827272490903,408.622641670361,421.226979082716,92.8661738291588,-501.877377003359,556.584907475242,677.51849334301,324.688434235408,595.865747395989,468.731813064308,355.436281706188,2276.82553117946,704.166903390986,1015.09709052814,229.983662495137,383.151613902822,-16.9686052452654,180.070786973852,-23.0519430242859,876.642540585908,302.942193884709
