,mean_fit_time,mean_score_time,mean_test_accuracy,mean_test_au_prc_macro,mean_test_au_prc_micro,mean_test_f1_macro,mean_test_f1_micro,mean_test_precision_macro,mean_test_precision_micro,param_classify,param_classify__hidden_layer_sizes,param_classify__learning_rate,param_classify__max_iter,param_classify__momentum,param_reduce_dim,param_reduce_dim__k,params,rank_test_accuracy,rank_test_au_prc_macro,rank_test_au_prc_micro,rank_test_f1_macro,rank_test_f1_micro,rank_test_precision_macro,rank_test_precision_micro,split0_test_accuracy,split0_test_au_prc_macro,split0_test_au_prc_micro,split0_test_f1_macro,split0_test_f1_micro,split0_test_precision_macro,split0_test_precision_micro,split1_test_accuracy,split1_test_au_prc_macro,split1_test_au_prc_micro,split1_test_f1_macro,split1_test_f1_micro,split1_test_precision_macro,split1_test_precision_micro,split2_test_accuracy,split2_test_au_prc_macro,split2_test_au_prc_micro,split2_test_f1_macro,split2_test_f1_micro,split2_test_precision_macro,split2_test_precision_micro,split3_test_accuracy,split3_test_au_prc_macro,split3_test_au_prc_micro,split3_test_f1_macro,split3_test_f1_micro,split3_test_precision_macro,split3_test_precision_micro,split4_test_accuracy,split4_test_au_prc_macro,split4_test_au_prc_micro,split4_test_f1_macro,split4_test_f1_micro,split4_test_precision_macro,split4_test_precision_micro,std_fit_time,std_score_time,std_test_accuracy,std_test_au_prc_macro,std_test_au_prc_micro,std_test_f1_macro,std_test_f1_micro,std_test_precision_macro,std_test_precision_micro
23,0.22772216796875,0.012635183334350587,0.417910447761194,0.6112655248011747,0.6112655248011747,0.2833699606087666,0.417910447761194,0.2202191656098592,0.417910447761194,"MLPClassifier(activation='relu', alpha=0.0001, batch_size='auto', beta_1=0.9,
       beta_2=0.999, early_stopping=False, epsilon=1e-08,
       hidden_layer_sizes=(3,), learning_rate='constant',
       learning_rate_init=0.001, max_iter=100000, momentum=0.2,
       nesterovs_momentum=True, power_t=0.5, random_state=None,
       shuffle=True, solver='adam', tol=0.0001, validation_fraction=0.1,
       verbose=False, warm_start=False)","(3,)",constant,100000,0.2,"SelectKBest(k=5, score_func=<function mutual_info_classif at 0x118d43158>)",5,"{'reduce_dim': SelectKBest(k=5, score_func=<function mutual_info_classif at 0x118d43158>), 'classify__max_iter': 100000, 'reduce_dim__k': 5, 'classify': MLPClassifier(activation='relu', alpha=0.0001, batch_size='auto', beta_1=0.9,
       beta_2=0.999, early_stopping=False, epsilon=1e-08,
       hidden_layer_sizes=(3,), learning_rate='constant',
       learning_rate_init=0.001, max_iter=100000, momentum=0.2,
       nesterovs_momentum=True, power_t=0.5, random_state=None,
       shuffle=True, solver='adam', tol=0.0001, validation_fraction=0.1,
       verbose=False, warm_start=False), 'classify__hidden_layer_sizes': (3,), 'classify__learning_rate': 'constant', 'classify__momentum': 0.2}",2,1,1,2,2,6,2,0.3448275862068966,0.5,0.5,0.17094017094017097,0.3448275862068966,0.1149425287356322,0.3448275862068966,0.5555555555555556,0.7911764705882354,0.7911764705882354,0.45454545454545453,0.5555555555555556,0.37777777777777777,0.5555555555555556,0.5384615384615384,0.7710698314413484,0.7710698314413484,0.4711538461538462,0.5384615384615384,0.39651416122004357,0.5384615384615384,0.38461538461538464,0.5,0.5,0.1851851851851852,0.38461538461538464,0.12820512820512822,0.38461538461538464,0.2692307692307692,0.5,0.5,0.1414141414141414,0.2692307692307692,0.08974358974358974,0.2692307692307692,0.18135575335050963,0.0020021058095136537,0.11089375344123352,0.13769663854894654,0.13769663854894654,0.14581521774961284,0.11089375344123352,0.13556155381458038,0.11089375344123352
16,0.16692843437194824,0.018382549285888672,0.4253731343283582,0.5715074667817724,0.5715074667817724,0.2867013786082237,0.4253731343283582,0.24569017145607877,0.4253731343283582,"MLPClassifier(activation='relu', alpha=0.0001, batch_size='auto', beta_1=0.9,
       beta_2=0.999, early_stopping=False, epsilon=1e-08,
       hidden_layer_sizes=(3,), learning_rate='constant',
       learning_rate_init=0.001, max_iter=100000, momentum=0.2,
       nesterovs_momentum=True, power_t=0.5, random_state=None,
       shuffle=True, solver='adam', tol=0.0001, validation_fraction=0.1,
       verbose=False, warm_start=False)","(3,)",constant,100000,0.01,"SelectKBest(k=10, score_func=<function f_classif at 0x118c10510>)",5,"{'reduce_dim': SelectKBest(k=10, score_func=<function f_classif at 0x118c10510>), 'classify__max_iter': 100000, 'reduce_dim__k': 5, 'classify': MLPClassifier(activation='relu', alpha=0.0001, batch_size='auto', beta_1=0.9,
       beta_2=0.999, early_stopping=False, epsilon=1e-08,
       hidden_layer_sizes=(3,), learning_rate='constant',
       learning_rate_init=0.001, max_iter=100000, momentum=0.2,
       nesterovs_momentum=True, power_t=0.5, random_state=None,
       shuffle=True, solver='adam', tol=0.0001, validation_fraction=0.1,
       verbose=False, warm_start=False), 'classify__hidden_layer_sizes': (3,), 'classify__learning_rate': 'constant', 'classify__momentum': 0.01}",1,2,2,1,1,3,1,0.3793103448275862,0.5,0.5,0.18333333333333332,0.3793103448275862,0.1264367816091954,0.3793103448275862,0.37037037037037035,0.5,0.5,0.1801801801801802,0.37037037037037035,0.12345679012345678,0.37037037037037035,0.6153846153846154,0.7158282757547463,0.7158282757547463,0.6463166463166462,0.6153846153846154,0.6632996632996633,0.6153846153846154,0.38461538461538464,0.6527102068897734,0.6527102068897734,0.2545155993431856,0.38461538461538464,0.20551378446115287,0.38461538461538464,0.38461538461538464,0.5,0.5,0.1851851851851852,0.38461538461538464,0.12820512820512822,0.38461538461538464,0.27537096813072914,0.005961374945721229,0.0933741622093636,0.09192282468535344,0.09192282468535344,0.17858285369185628,0.0933741622093636,0.20716648145422162,0.0933741622093636
62,0.012417316436767578,0.017829227447509765,0.3805970149253731,0.5678773041031024,0.5678773041031024,0.2721048458673426,0.3805970149253731,0.225667562366421,0.3805970149253731,"MLPClassifier(activation='relu', alpha=0.0001, batch_size='auto', beta_1=0.9,
       beta_2=0.999, early_stopping=False, epsilon=1e-08,
       hidden_layer_sizes=(3,), learning_rate='constant',
       learning_rate_init=0.001, max_iter=100000, momentum=0.2,
       nesterovs_momentum=True, power_t=0.5, random_state=None,
       shuffle=True, solver='adam', tol=0.0001, validation_fraction=0.1,
       verbose=False, warm_start=False)","(6,)",constant,100000,0.9,"SelectKBest(k=10, score_func=<function f_classif at 0x118c10510>)",10,"{'reduce_dim': SelectKBest(k=10, score_func=<function f_classif at 0x118c10510>), 'classify__max_iter': 100000, 'reduce_dim__k': 10, 'classify': MLPClassifier(activation='relu', alpha=0.0001, batch_size='auto', beta_1=0.9,
       beta_2=0.999, early_stopping=False, epsilon=1e-08,
       hidden_layer_sizes=(3,), learning_rate='constant',
       learning_rate_init=0.001, max_iter=100000, momentum=0.2,
       nesterovs_momentum=True, power_t=0.5, random_state=None,
       shuffle=True, solver='adam', tol=0.0001, validation_fraction=0.1,
       verbose=False, warm_start=False), 'classify__hidden_layer_sizes': (6,), 'classify__learning_rate': 'constant', 'classify__momentum': 0.9}",10,3,3,5,10,5,10,0.27586206896551724,0.5,0.5,0.14414414414414414,0.27586206896551724,0.09195402298850575,0.27586206896551724,0.5555555555555556,0.7716386554621849,0.7716386554621849,0.45751633986928103,0.5555555555555556,0.3764705882352941,0.5555555555555556,0.2692307692307692,0.5,0.5,0.1414141414141414,0.2692307692307692,0.08974358974358974,0.2692307692307692,0.46153846153846156,0.5487738955231215,0.5487738955231215,0.35333333333333333,0.46153846153846156,0.30707070707070705,0.46153846153846156,0.34615384615384615,0.518968991105214,0.518968991105214,0.27174975562072334,0.34615384615384615,0.2727272727272727,0.34615384615384615,0.004531116097861026,0.0018104074281823047,0.11157768401248257,0.103883139452486,0.103883139452486,0.12273832382625557,0.11157768401248257,0.11726830789610977,0.11157768401248257
53,0.13711395263671874,0.013484811782836914,0.417910447761194,0.564934581998113,0.564934581998113,0.27792659208813736,0.417910447761194,0.27819527479316775,0.417910447761194,"MLPClassifier(activation='relu', alpha=0.0001, batch_size='auto', beta_1=0.9,
       beta_2=0.999, early_stopping=False, epsilon=1e-08,
       hidden_layer_sizes=(3,), learning_rate='constant',
       learning_rate_init=0.001, max_iter=100000, momentum=0.2,
       nesterovs_momentum=True, power_t=0.5, random_state=None,
       shuffle=True, solver='adam', tol=0.0001, validation_fraction=0.1,
       verbose=False, warm_start=False)","(6,)",constant,100000,0.1,"SelectKBest(k=5, score_func=<function mutual_info_classif at 0x118d43158>)",10,"{'reduce_dim': SelectKBest(k=5, score_func=<function mutual_info_classif at 0x118d43158>), 'classify__max_iter': 100000, 'reduce_dim__k': 10, 'classify': MLPClassifier(activation='relu', alpha=0.0001, batch_size='auto', beta_1=0.9,
       beta_2=0.999, early_stopping=False, epsilon=1e-08,
       hidden_layer_sizes=(3,), learning_rate='constant',
       learning_rate_init=0.001, max_iter=100000, momentum=0.2,
       nesterovs_momentum=True, power_t=0.5, random_state=None,
       shuffle=True, solver='adam', tol=0.0001, validation_fraction=0.1,
       verbose=False, warm_start=False), 'classify__hidden_layer_sizes': (6,), 'classify__learning_rate': 'constant', 'classify__momentum': 0.1}",2,4,4,3,2,2,2,0.4482758620689655,0.6644893483709273,0.6644893483709273,0.38148148148148153,0.4482758620689655,0.31209150326797386,0.4482758620689655,0.37037037037037035,0.5,0.5,0.1801801801801802,0.37037037037037035,0.12345679012345678,0.37037037037037035,0.38461538461538464,0.5,0.5,0.1851851851851852,0.38461538461538464,0.12820512820512822,0.38461538461538464,0.38461538461538464,0.5,0.5,0.1851851851851852,0.38461538461538464,0.12820512820512822,0.38461538461538464,0.5,0.6511939571150097,0.6511939571150097,0.44941176470588234,0.5,0.701058201058201,0.5,0.02039440368102565,0.002059305012559047,0.04891452553248142,0.07793915363088484,0.07793915363088484,0.11527997154401563,0.04891452553248142,0.22022365403152497,0.04891452553248142
51,0.1260758399963379,0.012804937362670899,0.35074626865671643,0.5573364793678666,0.5573364793678666,0.1949539265957176,0.35074626865671643,0.14216417910447762,0.35074626865671643,"MLPClassifier(activation='relu', alpha=0.0001, batch_size='auto', beta_1=0.9,
       beta_2=0.999, early_stopping=False, epsilon=1e-08,
       hidden_layer_sizes=(3,), learning_rate='constant',
       learning_rate_init=0.001, max_iter=100000, momentum=0.2,
       nesterovs_momentum=True, power_t=0.5, random_state=None,
       shuffle=True, solver='adam', tol=0.0001, validation_fraction=0.1,
       verbose=False, warm_start=False)","(6,)",constant,100000,0.05,"SelectKBest(k=5, score_func=<function mutual_info_classif at 0x118d43158>)",10,"{'reduce_dim': SelectKBest(k=5, score_func=<function mutual_info_classif at 0x118d43158>), 'classify__max_iter': 100000, 'reduce_dim__k': 10, 'classify': MLPClassifier(activation='relu', alpha=0.0001, batch_size='auto', beta_1=0.9,
       beta_2=0.999, early_stopping=False, epsilon=1e-08,
       hidden_layer_sizes=(3,), learning_rate='constant',
       learning_rate_init=0.001, max_iter=100000, momentum=0.2,
       nesterovs_momentum=True, power_t=0.5, random_state=None,
       shuffle=True, solver='adam', tol=0.0001, validation_fraction=0.1,
       verbose=False, warm_start=False), 'classify__hidden_layer_sizes': (6,), 'classify__learning_rate': 'constant', 'classify__momentum': 0.05}",28,5,5,32,28,37,28,0.27586206896551724,0.5,0.5,0.14414414414414414,0.27586206896551724,0.09195402298850575,0.27586206896551724,0.4074074074074074,0.7845588235294118,0.7845588235294118,0.30424242424242426,0.4074074074074074,0.2611111111111111,0.4074074074074074,0.34615384615384615,0.5,0.5,0.1714285714285714,0.34615384615384615,0.11538461538461538,0.34615384615384615,0.38461538461538464,0.5,0.5,0.1851851851851852,0.38461538461538464,0.12820512820512822,0.38461538461538464,0.34615384615384615,0.5,0.5,0.1714285714285714,0.34615384615384615,0.11538461538461538,0.34615384615384615,0.003255809270178416,0.001864973904507383,0.04573010400612087,0.11414083076593017,0.11414083076593017,0.056556329578268366,0.04573010400612087,0.060930261641774515,0.04573010400612087
11,0.2875542163848877,0.012943601608276368,0.41044776119402987,0.5522629260072077,0.5522629260072077,0.27633304247038654,0.41044776119402987,0.288763595622778,0.41044776119402987,"MLPClassifier(activation='relu', alpha=0.0001, batch_size='auto', beta_1=0.9,
       beta_2=0.999, early_stopping=False, epsilon=1e-08,
       hidden_layer_sizes=(3,), learning_rate='constant',
       learning_rate_init=0.001, max_iter=100000, momentum=0.2,
       nesterovs_momentum=True, power_t=0.5, random_state=None,
       shuffle=True, solver='adam', tol=0.0001, validation_fraction=0.1,
       verbose=False, warm_start=False)","(2,)",constant,100000,0.6,"SelectKBest(k=5, score_func=<function mutual_info_classif at 0x118d43158>)",5,"{'reduce_dim': SelectKBest(k=5, score_func=<function mutual_info_classif at 0x118d43158>), 'classify__max_iter': 100000, 'reduce_dim__k': 5, 'classify': MLPClassifier(activation='relu', alpha=0.0001, batch_size='auto', beta_1=0.9,
       beta_2=0.999, early_stopping=False, epsilon=1e-08,
       hidden_layer_sizes=(3,), learning_rate='constant',
       learning_rate_init=0.001, max_iter=100000, momentum=0.2,
       nesterovs_momentum=True, power_t=0.5, random_state=None,
       shuffle=True, solver='adam', tol=0.0001, validation_fraction=0.1,
       verbose=False, warm_start=False), 'classify__hidden_layer_sizes': (2,), 'classify__learning_rate': 'constant', 'classify__momentum': 0.6}",4,6,6,4,4,1,4,0.5862068965517241,0.6863952811321233,0.6863952811321233,0.5810904071773638,0.5862068965517241,0.594017094017094,0.5862068965517241,0.37037037037037035,0.5,0.5,0.1801801801801802,0.37037037037037035,0.12345679012345678,0.37037037037037035,0.3076923076923077,0.5599046636198339,0.5599046636198339,0.16666666666666666,0.3076923076923077,0.11594202898550725,0.3076923076923077,0.38461538461538464,0.5015479876160991,0.5015479876160991,0.2370766488413547,0.38461538461538464,0.4533333333333333,0.38461538461538464,0.38461538461538464,0.5,0.5,0.1851851851851852,0.38461538461538464,0.12820512820512822,0.38461538461538464,0.09858060529586815,0.0014718840262442374,0.09652314830463338,0.0740566802628983,0.0740566802628983,0.16188783720869837,0.09652314830463338,0.20426405559549612,0.09652314830463338
5,0.16335015296936034,0.017355823516845705,0.3656716417910448,0.5516564310982314,0.5516564310982314,0.20014761708791562,0.3656716417910448,0.14626865671641792,0.3656716417910448,"MLPClassifier(activation='relu', alpha=0.0001, batch_size='auto', beta_1=0.9,
       beta_2=0.999, early_stopping=False, epsilon=1e-08,
       hidden_layer_sizes=(3,), learning_rate='constant',
       learning_rate_init=0.001, max_iter=100000, momentum=0.2,
       nesterovs_momentum=True, power_t=0.5, random_state=None,
       shuffle=True, solver='adam', tol=0.0001, validation_fraction=0.1,
       verbose=False, warm_start=False)","(2,)",constant,100000,0.1,"SelectKBest(k=5, score_func=<function mutual_info_classif at 0x118d43158>)",5,"{'reduce_dim': SelectKBest(k=5, score_func=<function mutual_info_classif at 0x118d43158>), 'classify__max_iter': 100000, 'reduce_dim__k': 5, 'classify': MLPClassifier(activation='relu', alpha=0.0001, batch_size='auto', beta_1=0.9,
       beta_2=0.999, early_stopping=False, epsilon=1e-08,
       hidden_layer_sizes=(3,), learning_rate='constant',
       learning_rate_init=0.001, max_iter=100000, momentum=0.2,
       nesterovs_momentum=True, power_t=0.5, random_state=None,
       shuffle=True, solver='adam', tol=0.0001, validation_fraction=0.1,
       verbose=False, warm_start=False), 'classify__hidden_layer_sizes': (2,), 'classify__learning_rate': 'constant', 'classify__momentum': 0.1}",17,7,7,27,17,34,17,0.3793103448275862,0.5,0.5,0.18333333333333332,0.3793103448275862,0.1264367816091954,0.3793103448275862,0.37037037037037035,0.5,0.5,0.1801801801801802,0.37037037037037035,0.12345679012345678,0.37037037037037035,0.38461538461538464,0.5,0.5,0.1851851851851852,0.38461538461538464,0.12820512820512822,0.38461538461538464,0.2692307692307692,0.5,0.5,0.1414141414141414,0.2692307692307692,0.08974358974358974,0.2692307692307692,0.4230769230769231,0.7662292987370387,0.7662292987370387,0.3133333333333333,0.4230769230769231,0.26666666666666666,0.4230769230769231,0.03269690389967515,0.0027673423021617564,0.05058039512110433,0.10528090307712018,0.10528090307712018,0.05779278435639942,0.05058039512110433,0.06071093242369762,0.05058039512110433
48,0.014819145202636719,0.012909793853759765,0.3805970149253731,0.5512409068104854,0.5512409068104854,0.2286478301885138,0.3805970149253731,0.17750533049040512,0.3805970149253731,"MLPClassifier(activation='relu', alpha=0.0001, batch_size='auto', beta_1=0.9,
       beta_2=0.999, early_stopping=False, epsilon=1e-08,
       hidden_layer_sizes=(3,), learning_rate='constant',
       learning_rate_init=0.001, max_iter=100000, momentum=0.2,
       nesterovs_momentum=True, power_t=0.5, random_state=None,
       shuffle=True, solver='adam', tol=0.0001, validation_fraction=0.1,
       verbose=False, warm_start=False)","(6,)",constant,100000,0.01,"SelectKBest(k=10, score_func=<function f_classif at 0x118c10510>)",10,"{'reduce_dim': SelectKBest(k=10, score_func=<function f_classif at 0x118c10510>), 'classify__max_iter': 100000, 'reduce_dim__k': 10, 'classify': MLPClassifier(activation='relu', alpha=0.0001, batch_size='auto', beta_1=0.9,
       beta_2=0.999, early_stopping=False, epsilon=1e-08,
       hidden_layer_sizes=(3,), learning_rate='constant',
       learning_rate_init=0.001, max_iter=100000, momentum=0.2,
       nesterovs_momentum=True, power_t=0.5, random_state=None,
       shuffle=True, solver='adam', tol=0.0001, validation_fraction=0.1,
       verbose=False, warm_start=False), 'classify__hidden_layer_sizes': (6,), 'classify__learning_rate': 'constant', 'classify__momentum': 0.01}",10,8,8,12,10,24,10,0.27586206896551724,0.5,0.5,0.14414414414414414,0.27586206896551724,0.09195402298850575,0.27586206896551724,0.5555555555555556,0.7543067226890756,0.7543067226890756,0.4714640198511166,0.5555555555555556,0.4365079365079365,0.5555555555555556,0.34615384615384615,0.5,0.5,0.1714285714285714,0.34615384615384615,0.11538461538461538,0.34615384615384615,0.34615384615384615,0.5,0.5,0.1714285714285714,0.34615384615384615,0.11538461538461538,0.34615384615384615,0.38461538461538464,0.5,0.5,0.1851851851851852,0.38461538461538464,0.12820512820512822,0.38461538461538464,0.013182406639698696,0.0018838511019454857,0.09489606257604531,0.1020062573954658,0.1020062573954658,0.12272896888728936,0.09489606257604531,0.13065094191504503,0.09489606257604531
26,0.0734473705291748,0.012498569488525391,0.3582089552238806,0.5477529631255488,0.5477529631255488,0.2223710076212271,0.3582089552238806,0.18518242122719733,0.3582089552238806,"MLPClassifier(activation='relu', alpha=0.0001, batch_size='auto', beta_1=0.9,
       beta_2=0.999, early_stopping=False, epsilon=1e-08,
       hidden_layer_sizes=(3,), learning_rate='constant',
       learning_rate_init=0.001, max_iter=100000, momentum=0.2,
       nesterovs_momentum=True, power_t=0.5, random_state=None,
       shuffle=True, solver='adam', tol=0.0001, validation_fraction=0.1,
       verbose=False, warm_start=False)","(3,)",constant,100000,0.6,"SelectKBest(k=10, score_func=<function f_classif at 0x118c10510>)",5,"{'reduce_dim': SelectKBest(k=10, score_func=<function f_classif at 0x118c10510>), 'classify__max_iter': 100000, 'reduce_dim__k': 5, 'classify': MLPClassifier(activation='relu', alpha=0.0001, batch_size='auto', beta_1=0.9,
       beta_2=0.999, early_stopping=False, epsilon=1e-08,
       hidden_layer_sizes=(3,), learning_rate='constant',
       learning_rate_init=0.001, max_iter=100000, momentum=0.2,
       nesterovs_momentum=True, power_t=0.5, random_state=None,
       shuffle=True, solver='adam', tol=0.0001, validation_fraction=0.1,
       verbose=False, warm_start=False), 'classify__hidden_layer_sizes': (3,), 'classify__learning_rate': 'constant', 'classify__momentum': 0.6}",24,9,9,14,24,17,24,0.5172413793103449,0.7220394736842105,0.7220394736842105,0.45248868778280543,0.5172413793103449,0.47222222222222227,0.5172413793103449,0.37037037037037035,0.5,0.5,0.1801801801801802,0.37037037037037035,0.12345679012345678,0.37037037037037035,0.2692307692307692,0.5,0.5,0.1414141414141414,0.2692307692307692,0.08974358974358974,0.2692307692307692,0.2692307692307692,0.5,0.5,0.1414141414141414,0.2692307692307692,0.08974358974358974,0.2692307692307692,0.34615384615384615,0.49845201238390097,0.49845201238390097,0.17142857142857146,0.34615384615384615,0.12,0.34615384615384615,0.128034799119667,0.0009660739347924027,0.09275670017348919,0.09159614131699546,0.09159614131699546,0.12192529519187387,0.09275670017348919,0.15151838804158682,0.09275670017348919
28,0.07472624778747558,0.01246018409729004,0.3358208955223881,0.5464550313448239,0.5464550313448239,0.19605031384061924,0.3358208955223881,0.14514925373134327,0.3358208955223881,"MLPClassifier(activation='relu', alpha=0.0001, batch_size='auto', beta_1=0.9,
       beta_2=0.999, early_stopping=False, epsilon=1e-08,
       hidden_layer_sizes=(3,), learning_rate='constant',
       learning_rate_init=0.001, max_iter=100000, momentum=0.2,
       nesterovs_momentum=True, power_t=0.5, random_state=None,
       shuffle=True, solver='adam', tol=0.0001, validation_fraction=0.1,
       verbose=False, warm_start=False)","(3,)",constant,100000,0.8,"SelectKBest(k=10, score_func=<function f_classif at 0x118c10510>)",5,"{'reduce_dim': SelectKBest(k=10, score_func=<function f_classif at 0x118c10510>), 'classify__max_iter': 100000, 'reduce_dim__k': 5, 'classify': MLPClassifier(activation='relu', alpha=0.0001, batch_size='auto', beta_1=0.9,
       beta_2=0.999, early_stopping=False, epsilon=1e-08,
       hidden_layer_sizes=(3,), learning_rate='constant',
       learning_rate_init=0.001, max_iter=100000, momentum=0.2,
       nesterovs_momentum=True, power_t=0.5, random_state=None,
       shuffle=True, solver='adam', tol=0.0001, validation_fraction=0.1,
       verbose=False, warm_start=False), 'classify__hidden_layer_sizes': (3,), 'classify__learning_rate': 'constant', 'classify__momentum': 0.8}",41,10,10,30,41,35,41,0.3448275862068966,0.5,0.5,0.17094017094017097,0.3448275862068966,0.1149425287356322,0.3448275862068966,0.25925925925925924,0.5,0.5,0.1372549019607843,0.25925925925925924,0.08641975308641975,0.25925925925925924,0.34615384615384615,0.5,0.5,0.1714285714285714,0.34615384615384615,0.11538461538461538,0.34615384615384615,0.46153846153846156,0.739422084623323,0.739422084623323,0.36437246963562747,0.46153846153846156,0.325,0.46153846153846156,0.2692307692307692,0.5,0.5,0.1414141414141414,0.2692307692307692,0.08974358974358974,0.2692307692307692,0.13073740331344516,0.001956359258303217,0.0717381180986943,0.09467993720198054,0.09467993720198054,0.08382806242822241,0.0717381180986943,0.0890849177088588,0.0717381180986943
